WRN 2026-05-18T21:21:38.207 ui.39766   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-05-18T21:21:38.207 ui.39766   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-05-18T21:21:38.207 ui.39766   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-05-18T21:21:38.207 ui.39766   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-05-18T21:21:38.207 ui.39766   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-05-18T21:24:05.423 ui.41401   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-05-18T21:24:05.423 ui.41401   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-05-18T21:24:05.423 ui.41401   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-05-18T21:24:05.423 ui.41401   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-05-18T21:24:05.423 ui.41401   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-05-18T21:24:14.650 ui.41517   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-05-18T21:24:14.650 ui.41517   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-05-18T21:24:14.650 ui.41517   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-05-18T21:24:14.650 ui.41517   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-05-18T21:24:14.650 ui.41517   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-05-18T21:25:11.585 ui.41733   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-05-18T21:25:11.585 ui.41733   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-05-18T21:25:11.585 ui.41733   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-05-18T21:25:11.585 ui.41733   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-05-18T21:25:11.585 ui.41733   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-05-18T21:25:27.445 ui.41790   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-05-18T21:25:27.445 ui.41790   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-05-18T21:25:27.445 ui.41790   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-05-18T21:25:27.445 ui.41790   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-05-18T21:25:27.445 ui.41790   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-05-18T21:26:28.210 ui.42041   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-05-18T21:26:28.210 ui.42041   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
